#vA= 0.500000 m/s
#vK= 0.250000 m/s
#L0= 3.000000 m
#tS= 12.000000 s
#xS= 6.000000 m
# t(s)	xAchiles(m)	xKorytnacka(m)
18.000032 9.000016 7.500008
18.100033 9.050016 7.525008
18.200033 9.100017 7.550008
18.300034 9.150017 7.575008
18.400034 9.200017 7.600008
18.500034 9.250017 7.625009
18.600035 9.300017 7.650009
18.700035 9.350018 7.675009
18.800035 9.400018 7.700009
18.900036 9.450018 7.725009
19.000036 9.500018 7.750009
19.100037 9.550018 7.775009
19.200037 9.600019 7.800009
19.300037 9.650019 7.825009
19.400038 9.700019 7.850009
19.500038 9.750019 7.875010
19.600039 9.800019 7.900010
19.700039 9.850019 7.925010
19.800039 9.900020 7.950010
19.900040 9.950020 7.975010
20.000040 10.000020 8.000010
20.100040 10.050020 8.025010
20.200041 10.100020 8.050011
20.300041 10.150021 8.075010
20.400042 10.200021 8.100010
20.500042 10.250021 8.125010
20.600042 10.300021 8.150011
20.700043 10.350021 8.175011
20.800043 10.400022 8.200010
20.900043 10.450022 8.225011
21.000044 10.500022 8.250011
21.100044 10.550022 8.275011
21.200045 10.600022 8.300011
21.300045 10.650023 8.325011
21.400045 10.700023 8.350012
21.500046 10.750023 8.375011
21.600046 10.800023 8.400011
21.700047 10.850023 8.425012
21.800047 10.900023 8.450012
21.900047 10.950024 8.475012
22.000048 11.000024 8.500011
22.100048 11.050024 8.525012
22.200048 11.100024 8.550013
22.300049 11.150024 8.575012
22.400049 11.200025 8.600012
22.500050 11.250025 8.625012
22.600050 11.300025 8.650013
22.700050 11.350025 8.675013
22.800051 11.400025 8.700012
22.900051 11.450026 8.725013
23.000051 11.500026 8.750013
23.100052 11.550026 8.775013
23.200052 11.600026 8.800013
23.300053 11.650026 8.825013
23.400053 11.700027 8.850014
23.500053 11.750027 8.875013
23.600054 11.800027 8.900013
23.700054 11.850027 8.925014
23.800055 11.900027 8.950014
23.900055 11.950027 8.975014
24.000055 12.000028 9.000013
24.100056 12.050028 9.025014
24.200056 12.100028 9.050014
24.300056 12.150028 9.075014
24.400057 12.200028 9.100014
24.500057 12.250029 9.125014
24.600058 12.300029 9.150015
24.700058 12.350029 9.175014
24.800058 12.400029 9.200014
24.900059 12.450029 9.225015
25.000059 12.500030 9.250015
25.100060 12.550030 9.275015
25.200060 12.600030 9.300014
25.300060 12.650030 9.325015
25.400061 12.700030 9.350016
25.500061 12.750031 9.375015
25.600061 12.800031 9.400015
25.700062 12.850031 9.425015
25.800062 12.900031 9.450016
25.900063 12.950031 9.475016
26.000063 13.000031 9.500015
26.100063 13.050032 9.525016
26.200064 13.100032 9.550016
26.300064 13.150032 9.575016
26.400064 13.200032 9.600016
26.500065 13.250032 9.625016
26.600065 13.300033 9.650017
26.700066 13.350033 9.675016
26.800066 13.400033 9.700016
26.900066 13.450033 9.725017
27.000067 13.500033 9.750017
27.100067 13.550034 9.775017
27.200068 13.600034 9.800016
27.300068 13.650034 9.825017
27.400068 13.700034 9.850018
27.500069 13.750034 9.875017
27.600069 13.800035 9.900017
27.700069 13.850035 9.925017
27.800070 13.900035 9.950018
27.900070 13.950035 9.975018
28.000071 14.000035 10.000017
28.100071 14.050035 10.025018
28.200071 14.100036 10.050018
28.300072 14.150036 10.075018
28.400072 14.200036 10.100018
28.500072 14.250036 10.125018
28.600073 14.300036 10.150019
28.700073 14.350037 10.175018
28.800074 14.400037 10.200018
28.900074 14.450037 10.225019
29.000074 14.500037 10.250019
29.100075 14.550037 10.275019
29.200075 14.600038 10.300018
29.300076 14.650038 10.325019
29.400076 14.700038 10.350019
29.500076 14.750038 10.375019
29.600077 14.800038 10.400019
29.700077 14.850039 10.425019
29.800077 14.900039 10.450020
29.900078 14.950039 10.475019
30.000078 15.000039 10.500019
30.100079 15.050039 10.525020
30.200079 15.100039 10.550020
30.300079 15.150040 10.575020
30.400080 15.200040 10.600019
30.500080 15.250040 10.625020
30.600080 15.300040 10.650021
30.700081 15.350040 10.675020
30.800081 15.400041 10.700020
30.900082 15.450041 10.725020
31.000082 15.500041 10.750021
31.100082 15.550041 10.775021
31.200083 15.600041 10.800020
31.300083 15.650042 10.825021
31.400084 15.700042 10.850021
31.500084 15.750042 10.875021
31.600084 15.800042 10.900021
31.700085 15.850042 10.925021
31.800085 15.900043 10.950022
31.900085 15.950043 10.975021
32.000084 16.000042 11.000021
32.100082 16.050041 11.025021
32.200081 16.100040 11.050020
32.300079 16.150040 11.075020
32.400078 16.200039 11.100019
32.500076 16.250038 11.125019
32.600075 16.300037 11.150019
32.700073 16.350037 11.175018
32.800072 16.400036 11.200018
32.900070 16.450035 11.225018
33.000069 16.500034 11.250017
33.100067 16.550034 11.275017
33.200066 16.600033 11.300016
33.300064 16.650032 11.325016
33.400063 16.700031 11.350016
33.500061 16.750031 11.375015
33.600060 16.800030 11.400015
33.700058 16.850029 11.425014
33.800056 16.900028 11.450014
33.900055 16.950027 11.475014
34.000053 17.000027 11.500013
34.100052 17.050026 11.525013
34.200050 17.100025 11.550013
34.300049 17.150024 11.575012
34.400047 17.200024 11.600012
34.500046 17.250023 11.625011
34.600044 17.300022 11.650011
34.700043 17.350021 11.675011
34.800041 17.400021 11.700010
