y0 = 21.000000 m; v0y = 2.200000 m/s; a = 1.000000 m, ymax = 21.246771 m
t(s)	ysur(m)	vy(m/s)
2.10	3.996365	-18.393950
2.11	3.811934	-18.492016
2.12	3.626526	-18.590082
2.13	3.440134	-18.688148
2.14	3.252762	-18.786215
2.15	3.064409	-18.884281
2.16	2.875077	-18.982347
2.17	2.684763	-19.080414
2.18	2.493470	-19.178480
2.19	2.301194	-19.276546
2.20	2.107938	-19.374613
2.21	1.913701	-19.472681
2.22	1.718485	-19.570747
2.23	1.522287	-19.668814
2.24	1.325110	-19.766880
2.25	1.126951	-19.864946
2.26	0.927810	-19.963013
2.27	0.727689	-20.061079
2.28	0.526590	-20.159145
2.29	0.324508	-20.257212
2.30	0.121445	-20.355278
